StationID,LatDeg,LatDeci,LonDeg,LonDeci
S1.1,48,51.377,125,11.315
S1.2,48,51.389,125,11.316
S1.3,48,51.396,125,11.335
S1.4,48,51.4,125,11.364
S1.5,48,51.415,125,11.388
S2.1,48,51.522,125,10.965
S2.2,48,51.548,125,10.974
S2.3,48,51.573,125,10.988
S2.4,48,51.583,125,10.993
S2.4,48,51.598,125,10.996
S3.1,48,51.544,125,10.486
S3.2,48,51.564,125,10.472
S3.3,48,51.574,125,10.471
S3.4,48,51.591,125,10.46
S3.5,48,51.604,125,10.465
S4.1,48,51.637,125,9.864
S4.2,48,51.636,125,9.882
S4.3,48,51.628,125,9.895
S4.4,48,51.625,125,9.919
S4.5,48,51.616,125,9.92
S5.1,48,51.667,125,9.429
S5.2,48,51.676,125,9.422
S5.3,48,51.681,125,9.457
S5.4,48,51.682,125,9.459
S6.1,48,51.85,125,9.168
S6.2,48,51.858,125,9.165
S6.3,48,51.876,125,9.131
S6.4,48,51.889,125,9.114
E1.1,48,51.641,125,11.055
E1.2,48,51.702,125,11.134
E5.1,48,51.628,125,9.897
E5.2,48,51.633,125,9.907
E5.3,48,51.634,125,9.903
E5.4,48,51.644,125,9.915
E6.1,48,51.676,125,9.652
E6.2,48,51.765,125,9.651
E6.3,48,51.714,125,9.448
E7.1,48,51.801,125,9.458
E7.2,48,51.844,125,9.448
E8.1,48,51.782,125,9.118
E8.2,48,51.901,125,9.138